DE;MUN;DESC TIPOCLASSE;SERIE;GRAU;COD_ESCOLA;ESCOLA;CLASSES;ALUNOS
ADAMANTINA;ADAMANTINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30806;HELEN KELLER;3;9
ADAMANTINA;ADAMANTINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DV - CRPE;10;30806;HELEN KELLER;1;2
ADAMANTINA;ADAMANTINA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31112;FLEURIDES CAVALLINI MENECHINO PROFA;3;16
ADAMANTINA;DRACENA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;31264;9 DE JULHO;1;3
ADAMANTINA;DRACENA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DV - CRPE;10;31276;ISAC PEREIRA GARCEZ ENG;1;1
ADAMANTINA;DRACENA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;911173;ALFREDO MACHADO;3;18
ADAMANTINA;FLORIDA PAULISTA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30910;PERCIO GOMES GONZALES DR;2;7
ADAMANTINA;INUBIA PAULISTA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31598;IRALDO ANTONIO MARTINS DE TOLEDO;1;3
ADAMANTINA;IRAPURU;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;30958;JOSE EDSON MOYSES PROF;1;3
ADAMANTINA;JUNQUEIROPOLIS;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;31306;GERALDO PECORARI PROF;2;6
ADAMANTINA;JUNQUEIROPOLIS;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31525;IDENE RODRIGUES DOS SANTOS PROF;4;21
ADAMANTINA;LUCELIA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;30788;JOSE FIRPO;2;11
ADAMANTINA;OSVALDO CRUZ;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31616;OSVALDO MARTINS;1;8
ADAMANTINA;PACAEMBU;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31069;JOEL AGUIAR PROF;2;14
ADAMANTINA;PRACINHA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DI - CRPE;9;30831;TAIEKA TAKAHASHI GIMENES PROFA;1;2
ADAMANTINA;TUPI PAULISTA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;31513;LEA APARECIDA VIEIRA GUEDES;1;6
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - TEA - CRPE;39;16974;SAO VICENTE DE PAULO;3;13
AMERICANA;AMERICANA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DA - CRPE;7;16998;ALCINDO SOARES DO NASCIMENTO PROF;1;1
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;17140;MARIO PATARRA FRATTINI PROF;2;3
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;17152;MAURA ARRUDA GUIDOLIN PROFA;1;3
AMERICANA;AMERICANA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - DA - CRPE;7;17164;JOAO DE CASTRO GONCALVES DR;1;1
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;17164;JOAO DE CASTRO GONCALVES DR;1;2
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;17322;JOAO SOLIDARIO PEDROSO PROF;1;3
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;37928;SINESIA MARTINI PROFA;2;7
AMERICANA;AMERICANA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCACAO ESPECIAL - TEA - CRPE;39;42481;MARCELINO TOMBI PROF;1;3
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;49897;BENTO PENTEADO DOS SANTOS PROF;3;9
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DF - CRPE;8;435442;MARIA FRIZZARIN PROFA;2;7
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;578563;PROFESSORA MARIA LUCIA PADOVANI DE OLIVEIRA;2;6
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;903760;ANTONIETA GHIZINI LENHARE PROFA;1;3
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DA - CRPE;7;980055;CEEJA ALDA MARANGONI FRANCA PROFA;2;13
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSOS;EDUCACAO ESPECIAL - DI - CRPE;9;980055;CEEJA ALDA MARANGONI FRANCA PROFA;3;21
