Genero,Faixa Et�ria, Escolaridade,Renda familiar,Compra roupa online,Lojas_compra_ou_ comprou_roupas_online ,compra_presencial,lojas_preferidas,fator_compra_online,quantidade_media,Pesquisa_Fabrica��o,decis�o_compra,posicionamento_social,compraria_marcas_escravidao,conhece_marcas_acusadas,Todas as marcas de moda usam mão-de-obra escrava ou análoga à escravidão,Eu estou constantemente pensando em como cuidar do meio ambiente ,"Quem critica as marcas de moda fast fashion são pessoas que conseguem comprar roupas de grife

*Fast Fashion é um termo para grandes lojas de roupas, que produzem peças novas constantemente para venda",É totalmente possível que as marcas sejam sustentáveis,"Eu compro em marcas acusadas de trabalho escravo ou de promover a poluição, desde que os produtos sejam de qualidade e com bom preço",É impossível falar de sustentabilidade no mundo da moda,Os produtos de marcas sustentáveis são muito caros,"Você aceitaria participar de uma entrevista para esta pesquisa, com duração média de 30 minutos?"
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),26 a 30,Graduação completa,Entre dois e até quatro salários mínimos,Sim,Renner;C&A;Marisa,,Shopee,Promoções,1 a 2,Não,Preço,Sim,Não,Não,2,4,4,4,2,1,4,Não
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),18 a 25 anos,Graduação incompleta,Entre dois e até quatro salários mínimos,Sim,C&A;Shein,,Shein;Shopee,Promoções,1 a 2,Não,Beleza estética,Não saberia dizer,Sim,Não,2,5,3,3,1,2,2,Não
homem cis (uma pessoa que nasceu com o órgão sexual masculino),31 a 35,Graduação completa,Entre quatro e até dez salários mínimos,Sim,Nenhuma das alternativas anteriores,,Não compro ou nunca comprei roupas em nenhum desses,Promoções,1 a 2,Não,Qualidade do produto,Não,Sim,Sim,5,3,1,1,5,4,5,Não
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Entre dois e até quatro salários mínimos,Sim,Renner;Shein,,Shein,Promoções,1 a 2,Não,Beleza estética,Sim,Não,Não,2,5,5,5,1,1,5,Não
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),31 a 35,Graduação completa,Entre quatro e até dez salários mínimos,Sim,Renner;C&A;Hering;ZARA;Amaro,,Não compro ou nunca comprei roupas em nenhum desses,Promoções,1 a 2,Não,Qualidade do produto,Sim,Não,Sim,2,4,3,4,2,1,2,Não
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Entre dez e até vinte salários mínimos,Não,Shein,,Shein;Wish,Lojas conhecidas,1 a 2,Não,Qualidade do produto,Não saberia dizer,Não,Sim,1,3,2,4,2,1,4,Sim
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),Acima de 50 anos,Graduação completa,Mais de vinte salários mínimos,Sim,Renner;C&A;Marisa;Amaro;Shein,,Shein,Lojas conhecidas,3 a 5,Não,Qualidade do produto,Sim,Não,Não,3,3,3,4,1,1,3,Sim
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),Acima de 50 anos,Graduação completa,Entre dez e até vinte salários mínimos,Sim,Renner;C&A;Hering;Amaro;Shein,,Shein;Shopee,Indicação de amigos,3 a 5,Sim,Qualidade do produto,Sim,Não,Sim,2,5,2,4,1,2,2,Sim
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Entre quatro e até dez salários mínimos,Sim,Renner;C&A;Marisa;Hering;Shein,,AliExpress;Shein;Shopee;Wish,Valor do frete,3 a 5,Não,Preço,Não,Não,Não,4,3,3,5,3,4,5,Não
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Entre quatro e até dez salários mínimos,Não,Nenhuma das alternativas anteriores,,Não compro ou nunca comprei roupas em nenhum desses,Lojas conhecidas,Mais de 10,Sim,Preço,Sim,Não,Não,3,4,3,3,5,3,3,Não
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Entre dez e até vinte salários mínimos,Sim,Renner;Marisa;Amaro;Shein,,Shein;Shopee,Indicação de amigos,3 a 5,Não,Qualidade do produto,Sim,Não,Sim,4,2,4,4,2,3,4,Não
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),26 a 30,Graduação incompleta,Entre dois e até quatro salários mínimos,Não,Renner,,Não compro ou nunca comprei roupas em nenhum desses,Lojas conhecidas,Não costumo comprar,Não,Beleza estética,Não,Não,Não,2,2,3,4,1,2,3,Sim
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Mais de vinte salários mínimos,Sim,Renner;C&A;Hering;ZARA;Amaro,,Shopee,Indicação de influenciadores,1 a 2,Não,Qualidade do produto,Sim,Não,Sim,1,5,1,4,3,1,2,Sim
mulher cis (uma pessoa que nasceu com o órgão sexual feminino),31 a 35,Graduação incompleta,Entre dois e até quatro salários mínimos,Não,Nenhuma das alternativas anteriores,,Não compro ou nunca comprei roupas em nenhum desses,Promoções,1 a 2,Não,Qualidade do produto,Não,Não,Sim,3,3,4,5,2,4,2,Sim
