Carimbo de data/hora,Escolha  uma opção abaixo para continuar,    Você é...,Sua faixa etária é...,Seu nível de escolaridade é...,Qual é a sua renda familiar?,Você costuma comprar roupas online?,Em qual dessas lojas você compra ou já comprou roupas online  (selecione quantas opções quiser):,Você costuma fazer compras presenciais em alguma dessas lojas?,Você costuma comprar roupas em algum dos sites abaixo (selecione quantas opções quiser):,"Ao fazer compras online, qual fator você mais leva em consideração?","Quando você visita um desses sites, você costuma comprar quantos itens?",Você costuma pesquisar onde e como são fabricadas as roupas que compra?,O que é mais importante na sua decisão de compra de uma roupa: ,"Para você, é importante que a marca de moda se posicione sobre questões sociais?",Você compraria roupas de uma marca acusada de promover trabalho escravo ou análogo à escravidão?,Você saberia dizer se alguma marca ou loja que já comprou foi acusada de promover trabalho escravo ou análogo à escravidão?,Todas as marcas de moda usam mão-de-obra escrava ou análoga à escravidão,Eu estou constantemente pensando em como cuidar do meio ambiente ,"Quem critica as marcas de moda fast fashion são pessoas que conseguem comprar roupas de grife

*Fast Fashion é um termo para grandes lojas de roupas, que produzem peças novas constantemente para venda",É totalmente possível que as marcas sejam sustentáveis,"Eu compro em marcas acusadas de trabalho escravo ou de promover a poluição, desde que os produtos sejam de qualidade e com bom preço",É impossível falar de sustentabilidade no mundo da moda,Os produtos de marcas sustentáveis são muito caros,"Você aceitaria participar de uma entrevista para esta pesquisa, com duração média de 30 minutos?"
2023/01/17 6:33:29 PM GMT-3,Aceito participar,mulher cis (uma pessoa que nasceu com o órgão sexual feminino),26 a 30,Graduação completa,Entre dois e até quatro salários mínimos,Sim,Renner;C&A;Marisa,,Shopee,Promoções,1 a 2,Não,Preço,Sim,Não,Não,2,4,4,4,2,1,4,Não
2023/01/17 6:46:01 PM GMT-3,Aceito participar,mulher cis (uma pessoa que nasceu com o órgão sexual feminino),18 a 25 anos,Graduação incompleta,Entre dois e até quatro salários mínimos,Sim,C&A;Shein,,Shein;Shopee,Promoções,1 a 2,Não,Beleza estética,Não saberia dizer,Sim,Não,2,5,3,3,1,2,2,Não
2023/01/17 6:57:47 PM GMT-3,Aceito participar,homem cis (uma pessoa que nasceu com o órgão sexual masculino),31 a 35,Graduação completa,Entre quatro e até dez salários mínimos,Sim,Nenhuma das alternativas anteriores,,Não compro ou nunca comprei roupas em nenhum desses,Promoções,1 a 2,Não,Qualidade do produto,Não,Sim,Sim,5,3,1,1,5,4,5,Não
2023/01/17 7:14:07 PM GMT-3,Aceito participar,mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Entre dois e até quatro salários mínimos,Sim,Renner;Shein,,Shein,Promoções,1 a 2,Não,Beleza estética,Sim,Não,Não,2,5,5,5,1,1,5,Não
2023/01/17 7:17:40 PM GMT-3,Aceito participar,mulher cis (uma pessoa que nasceu com o órgão sexual feminino),31 a 35,Graduação completa,Entre quatro e até dez salários mínimos,Sim,Renner;C&A;Hering;ZARA;Amaro,,Não compro ou nunca comprei roupas em nenhum desses,Promoções,1 a 2,Não,Qualidade do produto,Sim,Não,Sim,2,4,3,4,2,1,2,Não
2023/01/17 8:29:10 PM GMT-3,Aceito participar,mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Entre dez e até vinte salários mínimos,Não,Shein,,Shein;Wish,Lojas conhecidas,1 a 2,Não,Qualidade do produto,Não saberia dizer,Não,Sim,1,3,2,4,2,1,4,Sim
2023/01/17 8:34:21 PM GMT-3,Aceito participar,mulher cis (uma pessoa que nasceu com o órgão sexual feminino),Acima de 50 anos,Graduação completa,Mais de vinte salários mínimos,Sim,Renner;C&A;Marisa;Amaro;Shein,,Shein,Lojas conhecidas,3 a 5,Não,Qualidade do produto,Sim,Não,Não,3,3,3,4,1,1,3,Sim
2023/01/18 12:09:11 AM GMT-3,Aceito participar,mulher cis (uma pessoa que nasceu com o órgão sexual feminino),Acima de 50 anos,Graduação completa,Entre dez e até vinte salários mínimos,Sim,Renner;C&A;Hering;Amaro;Shein,,Shein;Shopee,Indicação de amigos,3 a 5,Sim,Qualidade do produto,Sim,Não,Sim,2,5,2,4,1,2,2,Sim
2023/01/18 12:13:43 AM GMT-3,Aceito participar,mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Entre quatro e até dez salários mínimos,Sim,Renner;C&A;Marisa;Hering;Shein,,AliExpress;Shein;Shopee;Wish,Valor do frete,3 a 5,Não,Preço,Não,Não,Não,4,3,3,5,3,4,5,Não
2023/01/18 12:19:50 AM GMT-3,Aceito participar,mulher cis (uma pessoa que nasceu com o órgão sexual feminino),36 a 50 anos,Graduação completa,Entre quatro e até dez salários mínimos,Não,Nenhuma das alternativas anteriores,,Não compro ou nunca comprei roupas em nenhum desses,Lojas conhecidas,Mais de 10,Sim,Preço,Sim,Não,Não,3,4,3,3,5,3,3,Não
